20240102090001 ,0.16,1014.78,31.01,47.78,70884.74,1277.55
20240102091001 ,0.08,1014.7,32.07,45.06,75632.26,1369.8
20240102092001 ,0.67,1014.66,32.71,41.56,81495.07,1462.67
20240102093001 ,0.71,1014.54,32.2,41.67,89049.71,1540.4
20240102094001 ,0.22,1014.44,32.89,39.65,97289.46,1594.3
20240102095001 ,0.47,1014.27,33.88,37.9,102983.39,1631.14
20240102100001 ,0.46,1014.15,34.5,36.79,106164.94,1659.6
20240102101001 ,0.19,1014,34.81,35.28,106549.29,1671.31
20240102102001 ,0.12,1013.71,35.57,34.22,105218.34,1674.38
20240102103001 ,0.03,1013.55,37.08,32.38,105219.6,1669.7
20240102104001 ,0.17,1013.4,37.96,29.79,105003.8,1689.69
20240102105001 ,0.95,1013.25,37.9,29.29,106520.36,1708.54
20240102110001 ,0.36,1013.1,37.48,29.8,110266.48,1710.23
20240102111001 ,1.52,1012.91,37.33,29.07,111173.91,1734.19
20240102112001 ,2.43,1012.66,36.94,29.58,111791.31,1727.19
20240102113001 ,0.73,1012.47,37.33,29.77,115772.11,1760.06
20240102114001 ,1.31,1012.24,38.76,28.02,117015.55,1766.71
20240102115001 ,0,1011.97,39.27,26.87,112245.02,1728.95
20240102120001 ,0,1011.71,38.15,27.69,108139.88,1705.11
20240102121001 ,0.53,1011.46,39.16,27.13,112015.2,1703.99
20240102122001 ,0.44,1011.28,39.46,25.97,112181.24,1733.1
20240102123001 ,1.31,1011.13,38.74,27.29,105787.42,1664.08
20240102124001 ,1.3,1010.93,37.61,29.05,108307.89,1791.86
20240102125001 ,2.67,1010.77,36.18,31.07,108356.05,1791.78
20240102130001 ,2.81,1010.64,35.78,32.03,84260.32,1329.92
20240102131001 ,1.98,1010.51,33.88,34.45,44256.17,417.97
20240102132001 ,3.33,1010.49,31.71,38.28,37400.8,291.34
20240102133001 ,2.85,1010.44,29.72,42.1,30432.31,195.89
20240102134001 ,1.21,1010.3,28.73,44.72,27421.75,160.57
20240102135001 ,1.49,1010.24,28.55,45.71,23782.67,122.99
20240102140001 ,1.88,1010.22,27.71,47.44,21780.62,105.78
20240102141001 ,3.7,1010.17,27.12,48.79,18929.33,81.01
20240102142001 ,3.83,1010.11,26.8,49.93,15685.08,56.43
20240102143001 ,2.95,1010.05,26.07,51.61,12507.5,36.42
20240102144001 ,3.32,1010.03,25.55,53.08,10567.58,26.28
20240102145001 ,3.14,1009.98,25.21,54.29,9687,22.13
20240102150001 ,3.1,1009.94,24.81,55.6,9726.58,22.02
20240102151001 ,3.06,1009.96,24.54,56.47,9151.08,19.7
20240102152001 ,3.53,1010.01,24.49,56.87,8138.25,15.99
20240102153001 ,2.69,1010.09,24.32,58.04,7892.42,14.8
20240102154001 ,1.01,1010.16,24.3,58.36,7334.17,12.8
20240102155001 ,0.42,1010.2,24.3,58.11,6381.58,9.86
20240102160001 ,1.33,1010.25,24.25,58.25,5305.17,6.89
20240102161001 ,3.54,1010.39,23.99,59.04,4407.25,4.8
20240102162001 ,0,1010.38,23.57,60.38,3978.5,3.92
20240102163001 ,0,1010.36,23.26,61.26,3725.84,3.5
20240102164001 ,1.5,1010.35,23.05,62.34,2538.58,1.72
20240102165001 ,0,1010.42,22.65,63.57,1448,0.58
20240108090001 ,0.71,1017.17,23.08,69.63,19577,88.46
20240108091001 ,0.67,1017.22,23.7,69.74,33520.8,411.72
20240108092001 ,0,1017.19,23.64,67.74,19073.42,83.83
20240108093001 ,0,1017.08,22.82,69.75,17094,70.15
20240108094001 ,0,1017.02,23.21,71.32,29696.04,222.37
20240108095001 ,0.12,1016.93,24.89,66.63,38818.6,320.88
20240108100001 ,0.43,1016.77,25.88,60.17,30946.08,203.78
20240108101001 ,0.47,1016.58,25.47,60.41,36273.44,292.34
20240108102001 ,0.05,1016.37,26.58,58.84,38380.1,433.4
20240108103001 ,0,1016.14,27.75,55.98,33560.2,258.12
20240108104001 ,0.01,1015.84,28.33,53.48,36061.18,304.53
20240108105001 ,0.04,1015.72,28.63,52.05,35238.07,274.01
20240108110001 ,0.03,1015.56,29.27,50.08,40334.16,353.57
20240108111001 ,0,1015.4,30.06,48.49,30286.08,203.9
20240108112001 ,0,1015.13,29.76,47.72,26709.17,161.65
20240108113001 ,0,1015.03,29.09,48.31,28449.33,185.11
20240108114001 ,0,1014.8,29.52,48.43,47502.68,507.1
20240108115001 ,0.04,1014.5,32.33,44.62,70161.68,1008.07
20240108120001 ,0.13,1014.23,33.66,39.89,45871.88,465.6
20240108121001 ,0.04,1014.05,32.81,41.05,49757.44,552.93
20240108122001 ,0.05,1013.95,32.03,41.21,39873.05,348.97
20240108123001 ,0.08,1013.76,30.52,44.78,38041.71,318.97
20240108124001 ,0.59,1013.56,29.62,47.22,52209.33,618.14
20240108125001 ,0.48,1013.37,30.16,47.06,76316.69,1200.94
20240108130001 ,0.46,1013.14,31.12,44.89,60848.83,846.87
20240108131001 ,0.13,1012.95,31.12,44.28,45125.52,461.86
20240108132001 ,0.61,1012.84,30.15,46.33,31049.17,215.46
20240108133001 ,0.25,1012.81,27.96,51.55,33691.42,243.79
20240108134001 ,0.47,1012.73,28.51,51.44,63051.87,979.18
20240108135001 ,0.43,1012.6,30.85,46.8,97091.62,1657.09
20240108140001 ,0.73,1012.39,32.44,42.88,54883.26,724.49
20240108141001 ,0.32,1012.4,30.29,46.75,39117.76,352.1
20240108142001 ,0.44,1012.33,28.92,50.05,32451.24,248.56
20240108143001 ,0.46,1012.23,27.35,54.02,27444.92,172.92
20240108144001 ,0.56,1012.26,26.89,56.2,37822.31,362.32
20240108145001 ,0.31,1012.24,27.95,53.74,32312.48,252.72
20240108150001 ,0.36,1012.17,28.82,52,47851.08,646.18
20240108151001 ,0.18,1012.21,29.06,50.67,36745.31,377.64
20240108152001 ,0.23,1012.17,29.31,49.65,27999.93,224.11
20240108153001 ,0.16,1012.18,28.21,50.86,22987.75,140.8
20240108154001 ,0.37,1012.15,27.12,53.87,16102.83,71.08
20240108155001 ,0.34,1012.21,25.61,58.43,15386.17,57.45
20240108160001 ,0.44,1012.22,24.61,61.86,12670.67,39.54
20240108161001 ,0.6,1012.34,23.72,64.81,9737.92,23.6
20240108162001 ,0.31,1012.46,23.15,66.78,7570.83,15.12
20240108163001 ,0.63,1012.58,22.71,68.46,5528.92,8.29
20240108164001 ,0.02,1012.51,22.3,70.07,4084.83,4.69
20240108165001 ,0,1012.57,22.06,70.92,2895.08,2.69
20240129090001 ,0.12,1020.8,18.67,100,19532.25,76.22
20240129091001 ,0.53,1020.78,19.75,100,24039.25,120.87
20240129092001 ,1.31,1020.65,20.84,97.07,28959.83,172.66
20240129093001 ,1.52,1020.54,20.83,92.17,21088.58,92.41
20240129094001 ,0.63,1020.4,20.73,92.05,22902.92,108.42
20240129095001 ,0.55,1020.23,21.37,88.51,27190.92,154.62
20240129100001 ,1.02,1020.05,22.71,81.33,43291.96,382.02
20240129101001 ,0.67,1019.9,24.67,72.16,43329.84,374.85
20240129102001 ,0.68,1019.77,25.32,65.63,45171.27,421.33
20240129103001 ,0.8,1019.73,26.47,61.75,57985.15,670.45
20240129104001 ,0.06,1019.65,28.18,58.12,53161.26,574.16
20240129105001 ,0.17,1019.42,30.28,51.79,65985.2,889.18
20240129110001 ,0.09,1019.27,31.39,47.27,38962.76,336.26
20240129111001 ,0.22,1019.17,29.16,48.86,26931.92,149.51
20240129112001 ,0.05,1018.97,27.62,53.95,26956.83,148.3
20240129113001 ,0.3,1018.9,27.39,54.08,24611.5,125.21
20240129114001 ,0.05,1018.67,27.47,54.55,33976.41,238.16
20240129115001 ,0,1018.43,28.81,52.93,38579.71,305.42
