Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240100000000 ,1.92,1017.91,18.33,92.29,8395.25,17.37
20240100000000 ,0.09,1017.96,18.02,97.37,7046.5,12.61
20240100000000 ,0.02,1018.16,17.73,99.93,5919.58,8.81
20240100000000 ,0.02,1018.2,17.9,100,8838.92,17.56
20240100000000 ,0.04,1018.13,18.08,100,5774.67,7.51
20240100000000 ,0.02,1018.03,17.83,100,5437.75,7.03
20240100000000 ,0,1018.04,17.75,100,9312.75,19.71
20240100000000 ,0.04,1017.87,17.99,100,9500.67,20.35
20240100000000 ,0.02,1017.82,18.13,100,9711.58,20.43
20240100000000 ,0.01,1017.82,18.2,100,7952.5,14.01
20240100000000 ,0.58,1017.71,18.11,95.79,6422.5,9.33
20240100000000 ,0.03,1017.55,18.21,93.92,7941.42,13.53
20240100000000 ,0.2,1017.46,18.64,92.71,7700.92,13.2
20240100000000 ,0.35,1017.28,18.78,87.1,6558.92,9.47
20240100000000 ,0.25,1017.09,18.8,86.15,6868.25,10.26
20240100000000 ,0.17,1016.87,18.94,84.1,8485.08,15.88
20240100000000 ,0.06,1016.56,19.38,84.1,10389.83,22.82
20240100000000 ,0.15,1016.36,19.77,80.9,9784.75,20.51
20240100000000 ,0.43,1016.17,19.87,80.09,11379,27.05
20240100000000 ,0.97,1015.97,19.96,77.42,9266.17,18.22
20240100000000 ,0.4,1015.82,19.81,78,9845.92,20.46
20240100000000 ,1.27,1015.67,20.04,76.07,16415.58,55.61
20240100000000 ,0.75,1015.51,20.35,74.86,13374.75,37.65
20240100000000 ,1.37,1015.42,20.29,74.1,10362.5,23.23
20240100000000 ,0.39,1015.34,19.9,75.45,7872.25,13.66
20240100000000 ,0.14,1015.27,19.88,77.24,6294.5,8.64
20240100000000 ,0.32,1015.05,19.67,76.37,6342.5,8.51
20240100000000 ,0.04,1015,19.49,77.68,5682,6.83
20240100000000 ,0.11,1014.93,19.31,78.29,4557.08,4.3
20240100000000 ,0,1015,19.04,80.3,3202,2.37
20240100000000 ,0.11,1014.91,18.23,86.75,3045.08,2.15
20240100000000 ,0.26,1014.93,17.87,89.61,3755.25,3.02
20240100000000 ,0.04,1014.91,17.96,89.18,4500.33,4.3
20240100000000 ,0.08,1014.79,18.2,88.3,4435.83,4.3
20240100000000 ,0.02,1014.74,18.44,87.16,4597.33,4.65
20240100000000 ,0.01,1014.66,18.71,85.76,4781.25,5.03
20240100000000 ,0.07,1014.56,18.82,84.23,3589.83,2.98
20240100000000 ,0,1014.54,18.7,84.73,3289.67,2.45
20240100000000 ,0.14,1014.59,18.58,85.6,2496.08,1.49
20240100000000 ,0.23,1014.63,18.43,84.87,2351.25,1.33
20240100000000 ,0.05,1014.77,18.4,84.3,2545.17,1.52
20240100000000 ,0.02,1014.96,18.29,86.6,2437,1.46
20240100000000 ,0,1015.07,18.2,87.58,1810.67,0.86
20240100000000 ,0.07,1015.17,17.98,89.35,1130,0.36
20240100000000 ,0.08,1015.32,17.68,90.42,1000.58,0.29
20240100000000 ,0,1015.47,17.5,91.18,795.42,0.21
20240100000000 ,0.02,1015.58,17.5,91.84,663.17,0.15
