20240117090001,224.67
20240117091001,237.15
20240117092001,253.87
20240117093001,268.12
20240117094001,283.1
20240117095001,295.03
20240117100001,303.29
20240117101001,306.61
20240117102001,306.22
20240117103001,304.77
20240117104001,301.85
20240117105001,298.58
20240117110001,295.05
20240117111001,291.63
20240117112001,288.37
20240117113001,285.0
20240117114001,282.17
20240117115001,279.55
20240117120001,278.18
20240117121001,277.42
20240117122001,278.02
20240117123001,279.52
20240117124001,282.46
20240117125001,286.68
20240117130001,292.05
20240117131001,298.62
20240117132001,306.46
20240117133001,315.72
20240117134001,326.36
20240117135001,338.55
20240117140001,352.02
20240117141001,366.34
20240117142001,381.52
20240117143001,397.54
20240117144001,413.56
20240117145001,429.92
20240117150001,445.6
20240117151001,460.6
20240117152001,474.28
20240117153001,485.89
20240117154001,495.65
20240117155001,502.97
20240117160001,508.0
20240117161001,510.87
20240117162001,511.22
20240117163001,508.98
20240117164001,504.81
20240117165001,498.89
20240119090001,380.47
20240119091001,231.52
20240119092001,251.64
20240119093001,179.36
20240119094001,336.97
20240119095001,282.83
20240119100001,319.03
20240119101001,315.43
20240119102001,317.02
20240119103001,299.77
20240119104001,298.48
20240119105001,294.95
20240119110001,295.05
20240119111001,291.63
20240119112001,288.37
20240119113001,285.0
20240119114001,282.17
20240119115001,279.55
20240119120001,278.18
20240119121001,277.42
20240119122001,278.02
20240119123001,279.52
20240119124001,282.46
20240119125001,286.68
20240119130001,292.05
20240119131001,298.62
20240119132001,306.46
20240119133001,315.72
20240119134001,326.36
20240119135001,338.55
20240119140001,352.02
20240119141001,366.34
20240119142001,381.52
20240119143001,397.54
20240119144001,413.56
20240119145001,429.92
20240119150001,445.6
20240119151001,460.6
20240119152001,474.28
20240119153001,485.89
20240119154001,495.65
20240119155001,502.97
20240119160001,508.0
20240119161001,510.87
20240119162001,511.22
20240119163001,508.98
20240119164001,504.81
20240119165001,498.89
20240224090001,136.31
20240224091001,299.39
20240224092001,212.22
20240224093001,267.13
20240224094001,279.05
20240224095001,297.89
20240224100001,299.86
20240224101001,306.61
20240224102001,305.6
20240224103001,304.12
20240224104001,300.76
20240224105001,298.85
20240224110001,295.05
20240224111001,291.63
20240224112001,288.37
20240224113001,285.0
